Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-07-12T19:55:00Z,"TSLA",2019-07-19T19:55:00Z,Buy,16.3253317008,17.2406649426,5191,4751.49,51.91,0,5187.54,2117.93,1,"	163,164" 
2019-07-19T19:55:00Z,"GOOGL",2019-07-22T19:55:00Z,Buy,56.215382704,56.3993621234,1591,292.71,15.91,-661.95,406.32,954.66,1,"	165,166" 
2019-07-22T19:55:00Z,"TSLA",2019-07-25T19:55:00Z,Buy,17.0346649632,15.3439984656,5267,-8904.74,52.67,-10439.19,3679.88,14119.07,0,"	167,168" 
2019-07-25T19:55:00Z,"UUP",2019-07-26T19:55:00Z,Buy,22.3979325,22.44019275,3607,152.43,36.07,0,243.89,91.46,1,"	169,170" 
2019-07-26T19:55:00Z,"GOOGL",2019-07-31T19:55:00Z,Buy,62.2113265314,60.420626576,1300,-2327.91,13,-2897.8,0,2897.8,0,"	171,172" 
2019-07-31T19:55:00Z,"AAPL",2019-08-02T19:55:00Z,Buy,51.1718405,48.6108572675,1535,-3931.11,15.35,-4518.39,1449.85,5968.24,0,"	173,174" 
2019-08-02T19:55:00Z,"GOOGL",2019-08-05T19:55:00Z,Buy,59.1972378222,57.3390952764,1261,-2343.12,12.61,-3171.68,191.35,3363.03,0,"	175,176" 
2019-08-05T19:55:00Z,"UUP",2019-08-06T19:55:00Z,Buy,22.3641243,22.3810284,3233,54.65,32.33,-27.33,136.63,163.95,1,"	177,178" 
2019-08-06T19:55:00Z,"GOOGL",2019-08-08T19:55:00Z,Buy,58.1910538816,59.7625654182,1243,1953.39,12.43,-1361.64,1953.39,1361.64,1,"	179,180" 
2019-08-08T19:55:00Z,"TSLA",2019-08-09T19:55:00Z,Buy,15.89999841,15.6786650988,3294,-729.07,32.94,-990.4,52.7,1043.1,0,"	181,183" 
2019-08-08T19:55:00Z,"BIL",2019-08-09T19:55:00Z,Buy,76.890344098,76.8819417,284,-2.39,2.84,-2.39,0,2.39,0,"	182,184" 
2019-08-09T19:55:00Z,"MSFT",2019-08-14T19:55:00Z,Buy,129.816676468,126.991792217,566,-1598.88,5.66,-2015.69,415.42,2431.11,0,"	185,186" 
2019-08-14T19:55:00Z,"UUP",2019-08-16T19:55:00Z,Buy,22.49090505,22.5331653,3197,135.11,31.97,-54.04,270.21,162.13,1,"	187,188" 
2019-08-16T19:55:00Z,"AAPL",2019-08-19T19:55:00Z,Buy,49.580452208,50.588575268,1452,1463.79,14.52,-20.91,2084.16,669.16,1,"	189,190" 
2019-08-19T19:55:00Z,"NVDA",2019-08-20T19:55:00Z,Buy,4.257210006,4.187647751,14286,-993.77,142.86,-1511.94,0,1511.94,0,"	191,193" 
2019-08-19T19:55:00Z,"BIL",2019-08-20T19:55:00Z,Buy,76.932356088,76.92395369,163,-1.37,2,-1.37,0,1.37,0,"	192,194" 
2019-08-20T19:55:00Z,"AAPL",2019-08-23T19:55:00Z,Buy,50.708589918,48.514722116,1425,-3126.26,14.25,-3160.47,1084.27,4244.74,0,"	195,196" 
2019-08-23T19:55:00Z,"NVDA",2019-08-26T19:55:00Z,Buy,4.02417645175,4.096968382875,13012,947.17,130.12,-67.89,1487.02,759.67,1,"	197,199" 
2019-08-23T19:55:00Z,"BIL",2019-08-26T19:55:00Z,Buy,76.949160884,76.949160884,217,0,2.17,-1.82,1.82,1.82,0,"	198,200" 
2019-08-26T19:55:00Z,"UUP",2019-08-27T19:55:00Z,Buy,22.52471325,22.50780915,3106,-52.5,31.06,-105.01,26.25,131.26,0,"	201,202" 
2019-08-27T19:55:00Z,"AAPL",2019-08-29T19:55:00Z,Buy,49.201205914,50.110916961,1420,1291.79,14.2,-538.53,1475.84,804.39,1,"	203,204" 
2019-08-29T19:55:00Z,"NVDA",2019-08-30T19:55:00Z,Buy,4.15548499275,4.154241580125,12422,-15.45,124.22,-98.85,1158.43,1254.19,0,"	205,207" 
2019-08-29T19:55:00Z,"BIL",2019-08-30T19:55:00Z,Buy,76.974368078,76.974368078,253,0,2.53,-2.13,2.13,2.13,0,"	206,208" 
2019-08-30T19:55:00Z,"UUP",2019-09-05T19:55:00Z,Buy,22.72756245,22.6176858,3126,-343.47,31.26,-581.26,290.63,871.9,0,"	209,210" 
2019-09-05T19:55:00Z,"BIL",2019-09-06T19:55:00Z,Buy,76.856734506,76.848332108,199,-1.67,2,-1.67,1.67,3.34,0,"	212,213" 
2019-09-05T19:55:00Z,"NVDA",2019-09-06T19:55:00Z,Buy,4.4703170694,4.43898307125,880,-27.57,66.265,-56.9,24.95,61.71,0,"	211,214" 
2019-09-05T19:55:00Z,"NVDA",2019-09-11T19:55:00Z,Buy,4.4703170694,4.572525587175,11493,1174.68,57.465,-743.11,1852.05,1426.2,1,"	211,220" 
2019-09-06T19:55:00Z,"BIL",2019-09-09T19:55:00Z,Buy,76.856734506,76.856734506,249,0,2.49,0,2.09,2.09,0,"	215,216" 
2019-09-09T19:55:00Z,"BIL",2019-09-10T19:55:00Z,Buy,76.865136904,76.865136904,248,0,2.48,-2.08,2.08,2.08,0,"	217,218" 
2019-09-10T19:55:00Z,"BIL",2019-09-11T19:55:00Z,Buy,76.873539302,76.865136904,233,-1.96,2.33,-1.96,0,1.96,0,"	219,221" 
